,custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,filter_$
10,2228-KOLOPU-FY3,Zone 5,"< 2,500",Female,28.0,25-34,April,11.0,Did not complete high school,Managerial and Professional,No,4.0,2 to 5,No,23.0,3.1354942159291497,Under $25,4.8,0.19099200000000002,-1.6555237366294544,0.913008,-0.09101063610354213,No,Highly dissatisfied,Married,12.0,High school degree,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,Own,Single-family,5.0,4 to 7,0.0,,,,,,Yes,Bus,Public transportation,30.0,No,No,No,Yes,No,No,No,No,No,Yes,,Slightly conservative,Yes,No,No,Visa,Gold,Other,No,10.0,6 to 10,Mastercard,Platinum,Airline miles,No,10.0,6 to 10,17.0,442.09000000000003,7.0,144.69,Yes,Energy bar,34.0,No,3.45,1.2383742310432684,110.45,4.7045629298661265,Yes,33.0,3.4965075614664802,1099.65,7.002747226337705,No,0.0,,0.0,,Yes,16.5,2.803360380906535,545.0,6.300785794663244,No,0.0,,0.0,,No,No,No,None,Yes,Yes,Yes,Yes,No,Yes,16.0,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,1.0
11,0765-UXAFYM-PDR,Zone 3,"10,000-49,999",Male,61.0,50-64,June,16.0,Some college,Managerial and Professional,No,4.0,2 to 5,No,35.0,3.5553480614894135,$25 - $49,10.100000000000001,1.2337150000000001,0.2100299425688263,2.301285,0.8334676625749683,No,Neutral,Married,12.0,High school degree,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,29.0,More than 25,4.0,Lease,Domestic,9.4,Economy,Yes,No,Car,Single occupancy,34.0,Yes,No,No,Yes,No,No,No,No,No,No,,Liberal,No,No,No,American Express,Other,None,No,27.0,More than 15,Discover,Gold,Airline miles,No,15.0,11 to 15,8.0,271.98,7.0,240.38,No,Cereal,53.0,No,11.2,2.4159137783010487,567.05,6.34044748326134,No,0.0,,0.0,,No,0.0,,0.0,,Yes,9.5,2.2512917986064953,480.0,6.173786103901937,No,0.0,,0.0,,No,Yes,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,25.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,1.0
12,9937-SFPLRK-H9Y,Zone 2,"2,500-9,999",Male,70.0,>65,September,17.0,College degree,Sales and Office,Yes,2.0,2 to 5,No,28.0,3.332204510175204,$25 - $49,9.3,1.1952360000000002,0.17834365542473107,1.408764,0.34271272421066723,No,Highly dissatisfied,Married,17.0,College degree,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,Rent,Multiple-Family,14.0,8 to 15,5.0,Own,Domestic,15.700000000000001,Economy,No,Yes,Car,Single occupancy,29.0,Yes,No,No,No,No,No,No,No,No,No,,Conservative,Yes,No,Yes,American Express,None,Airline miles,Yes,26.0,More than 15,Discover,Gold,Other,No,17.0,More than 15,8.0,267.71,3.0,79.54,Yes,Oatmeal,59.0,Yes,14.25,2.6567569067146595,805.8,6.691835572757247,Yes,23.5,3.1570004211501135,1366.65,7.220117768827977,No,0.0,,0.0,,Yes,15.25,2.7245795030534206,840.0,6.733401891837359,No,0.0,,0.0,,Yes,No,Yes,Cable modem,No,Yes,No,Yes,No,Yes,21.0,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,1.0
13,0712-WQXYVV-HUP,Zone 4,"> 250,000",Male,61.0,50-64,April,14.0,High school degree,"Operation, Fabrication, General Labor",No,18.0,More than 15,Yes,12.0,2.4849066497880004,Under $25,21.5,0.56502,-0.5708941502321102,2.01498,0.700609269791075,No,Highly satisfied,Unmarried,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Own,Condominium/Townhouse,12.0,8 to 15,3.0,Own,Domestic,5.800000000000001,Economy,Yes,No,Bus,Public transportation,25.0,Yes,No,No,Yes,No,No,No,No,No,No,,Slightly liberal,Yes,No,No,American Express,None,Cash back,No,24.0,More than 15,Mastercard,Platinum,None,No,22.0,More than 15,10.0,245.03,4.0,63.63,No,Oatmeal,61.0,No,8.35,2.122261538862764,476.95,6.167411663591217,No,0.0,,0.0,,Yes,29.1,3.370738174177447,1790.8,7.49041772636681,Yes,11.5,2.4423470353692043,675.0,6.51471269087253,No,0.0,,0.0,,No,No,No,Cable modem,No,Yes,No,No,No,Yes,13.0,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,1.0
14,6441-FJUWZQ-7G8,Zone 3,"2,500-9,999",Male,37.0,35-49,August,11.0,Did not complete high school,Managerial and Professional,Yes,2.0,2 to 5,No,29.0,3.367295829986474,$25 - $49,15.7,3.319137,1.1997048093791662,1.233863,0.21014989825020883,Yes,Neutral,Unmarried,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,10.0,8 to 15,0.0,,,,,,Yes,Train/Subway,Public transportation,29.0,No,No,No,Yes,Yes,No,No,No,No,No,,Moderate,No,No,No,Other,None,Cash back,Yes,12.0,11 to 15,Discover,Gold,Cash back,No,11.0,11 to 15,17.0,556.61,7.0,187.47,Yes,Energy bar,39.0,No,13.1,2.5726122302071057,504.45,6.223468726854389,Yes,28.5,3.349904087274605,1028.1,6.935467717548673,Yes,43.5,3.7727609380946383,1663.95,7.416949572852778,Yes,10.5,2.3513752571634776,380.0,5.940171252720432,Yes,31.5,3.449987545831587,1199.2,7.089409946788388,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,21.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,1.0
15,7634-AVNEXZ-7AG,Zone 1,"10,000-49,999",Male,39.0,35-49,October,12.0,High school degree,Managerial and Professional,No,5.0,2 to 5,No,130.0,4.867534450455582,$125+,11.3,4.68611,1.5446028139884935,10.003890000000002,2.3029740173531614,No,Highly satisfied,Married,14.0,High school degree,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Own,Single-family,12.0,8 to 15,2.0,Own,Domestic,49.2,Luxury,Yes,No,Car,Single occupancy,32.0,Yes,No,No,Yes,Yes,No,No,No,No,No,,Extremely liberal,Yes,Yes,Yes,Discover,Other,Other,Yes,2.0,2 to 5,Mastercard,Gold,Cash back,No,1.0,Less than 2,12.0,453.74,5.0,245.14000000000001,No,Energy bar,6.0,No,1.5,0.4054651081081644,11.15,2.411439497906128,Yes,13.25,2.583997552432231,93.0,4.532599493153256,No,0.0,,0.0,,Yes,24.5,3.1986731175506815,140.0,4.941642422609304,No,0.0,,0.0,,No,No,No,Dial-up,Yes,No,Yes,Yes,No,Yes,32.0,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1.0
16,2041-PNMGHX-TXJ,Zone 4,"10,000-49,999",Female,73.0,>65,November,14.0,High school degree,Service,No,28.0,More than 15,Yes,69.0,4.23410650459726,$50 - $74,14.799999999999999,1.1641679999999999,0.1520066687915957,9.047832,2.2025251710021814,No,Neutral,Married,15.0,Some college,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,38.0,More than 25,1.0,Own,Import,22.8,Standard,Yes,No,Car,Single occupancy,27.0,Yes,No,No,Yes,No,No,No,Yes,No,No,,Slightly conservative,No,No,No,Visa,Gold,Airline miles,No,32.0,More than 15,Mastercard,Gold,Other,Yes,24.0,More than 15,6.0,212.67000000000002,2.0,80.44,No,Cereal,62.0,No,25.45,3.2367157429965316,1565.6,7.356024416081866,Yes,17.75,2.8763855159214247,1031.4,6.9386723816168585,Yes,47.15,3.8533340090794663,2874.15,7.963512257343818,Yes,10.0,2.302585092994046,595.0,6.38856140554563,Yes,53.2,3.9740583963475986,3245.6,8.085055511892238,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,22.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,0.0
17,4626-BQZAUJ-V9K,Zone 5,"2,500-9,999",Female,26.0,25-34,June,16.0,Some college,Sales and Office,No,0.0,Less than 2,No,24.0,3.1780538303479458,Under $25,11.700000000000001,1.297296,0.2602820982631665,1.5107040000000003,0.4125757673432122,Yes,Somewhat dissatisfied,Married,17.0,College degree,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,5.0,4 to 7,4.0,Lease,Domestic,9.8,Economy,No,No,Car,Single occupancy,27.0,Yes,No,No,No,No,No,No,No,No,No,,Conservative,Yes,Yes,No,Discover,None,None,Yes,8.0,6 to 10,American Express,Gold,Airline miles,No,4.0,2 to 5,14.0,447.67,5.0,101.0,Yes,Cereal,26.0,Yes,5.8,1.7578579175523736,149.4,5.006627272698717,No,0.0,,0.0,,Yes,27.05,3.2976870052924907,728.55,6.591056257459863,Yes,5.5,1.7047480922384253,145.0,4.976733742420574,No,0.0,,0.0,,Yes,No,No,Other,No,No,No,No,Yes,Yes,17.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,1.0
18,4974-FUBHDF-Z7L,Zone 3,"> 250,000",Female,77.0,>65,May,15.0,Some college,Managerial and Professional,No,26.0,More than 15,Yes,11.0,2.3978952727983707,Under $25,10.2,0.255816,-1.3632968429271917,0.8661839999999998,-0.1436579218568565,No,Highly satisfied,Unmarried,,,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Own,Mobile Home,57.0,More than 25,2.0,Own,Domestic,3.1,Economy,No,No,Car,Single occupancy,21.0,Yes,No,No,Yes,Yes,No,No,No,No,No,,Liberal,Yes,Yes,No,Visa,None,None,No,39.0,More than 15,Discover,Other,None,No,30.0,More than 15,10.0,194.95000000000002,5.0,107.06,Yes,Oatmeal,72.0,No,89.45,4.493679809954728,6495.7,8.77889569850907,Yes,75.5,4.324132656254979,5310.55,8.577450687026564,No,0.0,,0.0,,Yes,40.75,3.7074558396868715,2865.0,7.9603236291488395,No,0.0,,0.0,,Yes,No,No,None,Yes,Yes,No,No,No,Yes,23.0,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1.0
19,2525-OSULNV-0KS,Zone 5,"10,000-49,999",Male,36.0,35-49,March,19.0,College degree,Managerial and Professional,Yes,3.0,2 to 5,No,30.0,3.4011973816621555,$25 - $49,15.5,0.41385,-0.8822516896507323,4.23615,1.4436548378770864,No,Somewhat satisfied,Unmarried,,,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Own,Condominium/Townhouse,16.0,16 to 25,3.0,Own,Domestic,13.100000000000001,Economy,No,Yes,Car,Single occupancy,24.0,Yes,Yes,No,No,No,No,No,No,No,No,,Extremely liberal,Yes,Yes,Yes,American Express,None,Airline miles,No,10.0,6 to 10,Visa,None,Other,No,11.0,11 to 15,11.0,300.97,6.0,178.9,No,Cereal,37.0,No,6.7,1.9021075263969205,233.85,5.454679884171895,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,No,No,DSL,No,No,No,No,No,Yes,15.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,1.0
20,4973-FHPBZQ-AAA,Zone 3,"< 2,500",Male,55.0,50-64,December,14.0,High school degree,Service,No,23.0,More than 15,No,80.0,4.382026634673881,$75 - $124,6.5,0.031200000000000002,-3.4673371841667002,5.1688,1.6426405532618187,No,Highly satisfied,Unmarried,,,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,Own,Condominium/Townhouse,27.0,More than 25,4.0,Own,Domestic,35.0,Standard,No,Yes,Car,Single occupancy,25.0,Yes,No,Yes,Yes,No,No,No,No,Yes,No,,Conservative,No,No,No,Visa,Other,Airline miles,Yes,21.0,More than 15,Discover,Platinum,Cash back,No,17.0,More than 15,11.0,394.02,3.0,71.41,No,Energy bar,47.0,No,12.25,2.505525936990736,524.4,6.262254751889545,No,0.0,,0.0,,No,0.0,,0.0,,Yes,22.25,3.1023420086122493,1000.0,6.907755278982137,No,0.0,,0.0,,No,No,No,None,No,No,Yes,Yes,No,Yes,25.0,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,1.0
21,4726-RQKGNB-WAK,Zone 2,"50,000-249,999",Female,60.0,50-64,March,18.0,College degree,Managerial and Professional,No,13.0,11 to 15,No,51.0,3.9318256327243257,$50 - $74,7.8,1.2093120000000002,0.19005160285586523,2.768688,1.018373561784063,No,Highly satisfied,Married,13.0,High school degree,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,27.0,More than 25,2.0,Own,Domestic,25.200000000000003,Standard,No,Yes,Car,Single occupancy,26.0,Yes,No,Yes,Yes,No,No,No,No,No,No,,Conservative,Yes,Yes,No,Discover,Gold,Cash back,No,38.0,More than 15,Visa,Other,Airline miles,Yes,29.0,More than 15,9.0,112.47,2.0,44.52,Yes,Cereal,71.0,No,36.35,3.5931942039795284,2586.85,7.858196198286209,Yes,51.25,3.9367156180185177,3624.85,8.195568187122284,Yes,55.15,4.0100567456995115,4064.25,8.309984503114332,Yes,28.5,3.349904087274605,2090.0,7.644919344958857,Yes,55.8,4.021773869387265,3819.5,8.247874802981414,Yes,Yes,Yes,Other,No,No,Yes,No,Yes,Yes,20.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1.0
22,5538-DRGHIE-PF0,Zone 1,"> 250,000",Male,28.0,25-34,October,11.0,Did not complete high school,Sales and Office,Yes,1.0,Less than 2,No,17.0,2.833213344056216,Under $25,8.200000000000001,0.15055200000000002,-1.893446739519585,1.243448,0.21788816593620455,Yes,Somewhat dissatisfied,Married,14.0,High school degree,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Single-family,5.0,4 to 7,3.0,Own,Domestic,8.200000000000001,Economy,No,No,Car,Single occupancy,23.0,Yes,No,No,No,No,No,No,No,No,No,,Slightly conservative,Yes,No,Yes,Mastercard,None,Cash back,No,7.0,6 to 10,Other,Other,None,No,6.0,6 to 10,10.0,381.14,2.0,73.22,Yes,Cereal,16.0,No,7.85,2.060513531794317,116.3,4.7561730595246186,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,No,No,None,No,No,Yes,No,No,Yes,30.0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,1.0
