,custid,region,townsize,gender,agecat,edcat,jobcat,empcat,retire,lninc,inccat,debtinc,lncreddebt,lnothdebt,marital,spousedcat,reside,hometype,addresscat,carcatvalue,telecommute,reason,cardspent,tenure,churn,longmon,tollmon,cardmon,wiremon,multline,voice,internet,callwait,forward,confer,ebill,owntv,ownpc
13,0712-WQXYVV-HUP,Zone 4,"> 250,000",Male,50-64,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,2.4849066497880004,Under $25,21.5,-0.5708941502321102,0.700609269791075,Unmarried,,1.0,Condominium/Townhouse,8 to 15,Economy,No,,245.03,61.0,No,8.35,0.0,11.5,0.0,No,No,Cable modem,Yes,No,No,No,Yes,Yes
14,6441-FJUWZQ-7G8,Zone 3,"2,500-9,999",Male,35-49,Did not complete high school,Managerial and Professional,2 to 5,No,3.367295829986474,$25 - $49,15.7,1.1997048093791662,0.21014989825020883,Unmarried,,1.0,Multiple-Family,8 to 15,,No,,556.61,39.0,No,13.1,28.5,10.5,31.5,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
15,7634-AVNEXZ-7AG,Zone 1,"10,000-49,999",Male,35-49,High school degree,Managerial and Professional,2 to 5,No,4.867534450455582,$125+,11.3,1.5446028139884935,2.3029740173531614,Married,High school degree,4.0,Single-family,8 to 15,Luxury,No,,453.74,6.0,No,1.5,13.25,24.5,0.0,No,No,Dial-up,No,Yes,Yes,No,Yes,Yes
16,2041-PNMGHX-TXJ,Zone 4,"10,000-49,999",Female,>65,High school degree,Service,More than 15,Yes,4.23410650459726,$50 - $74,14.799999999999999,0.1520066687915957,2.2025251710021814,Married,Some college,2.0,Multiple-Family,More than 25,Standard,No,,212.67000000000002,62.0,No,25.45,17.75,10.0,53.2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
17,4626-BQZAUJ-V9K,Zone 5,"2,500-9,999",Female,25-34,Some college,Sales and Office,Less than 2,No,3.1780538303479458,Under $25,11.700000000000001,0.2602820982631665,0.4125757673432122,Married,College degree,6.0,Multiple-Family,4 to 7,Economy,No,,447.67,26.0,Yes,5.8,0.0,5.5,0.0,Yes,No,Other,No,No,No,Yes,Yes,Yes
18,4974-FUBHDF-Z7L,Zone 3,"> 250,000",Female,>65,Some college,Managerial and Professional,More than 15,Yes,2.3978952727983707,Under $25,10.2,-1.3632968429271917,-0.1436579218568565,Unmarried,,1.0,Mobile Home,More than 25,Economy,No,,194.95000000000002,72.0,No,89.45,75.5,40.75,0.0,Yes,No,None,Yes,No,No,No,Yes,No
19,2525-OSULNV-0KS,Zone 5,"10,000-49,999",Male,35-49,College degree,Managerial and Professional,2 to 5,No,3.4011973816621555,$25 - $49,15.5,-0.8822516896507323,1.4436548378770864,Unmarried,,1.0,Condominium/Townhouse,16 to 25,Economy,No,,300.97,37.0,No,6.7,0.0,0.0,0.0,No,No,DSL,No,No,No,No,Yes,Yes
20,4973-FHPBZQ-AAA,Zone 3,"< 2,500",Male,50-64,High school degree,Service,More than 15,No,4.382026634673881,$75 - $124,6.5,-3.4673371841667002,1.6426405532618187,Unmarried,,1.0,Condominium/Townhouse,More than 25,Standard,No,,394.02,47.0,No,12.25,0.0,22.25,0.0,No,No,None,No,Yes,Yes,No,Yes,Yes
21,4726-RQKGNB-WAK,Zone 2,"50,000-249,999",Female,50-64,College degree,Managerial and Professional,11 to 15,No,3.9318256327243257,$50 - $74,7.8,0.19005160285586523,1.018373561784063,Married,High school degree,2.0,Multiple-Family,More than 25,Standard,No,,112.47,71.0,No,36.35,51.25,28.5,55.8,Yes,Yes,Other,No,Yes,No,Yes,Yes,Yes
22,5538-DRGHIE-PF0,Zone 1,"> 250,000",Male,25-34,Did not complete high school,Sales and Office,Less than 2,No,2.833213344056216,Under $25,8.200000000000001,-1.893446739519585,0.21788816593620455,Married,High school degree,6.0,Single-family,4 to 7,Economy,No,,381.14,16.0,No,7.85,0.0,0.0,0.0,No,No,None,No,Yes,No,No,Yes,No
23,9809-NBCXAS-1RB,Zone 4,"< 2,500",Male,35-49,High school degree,Sales and Office,2 to 5,No,3.8066624897703196,$25 - $49,8.3,-0.1177367867258816,1.04593909528929,Unmarried,,2.0,Multiple-Family,4 to 7,Standard,No,Prices,461.15000000000003,38.0,No,6.75,0.0,0.0,0.0,Yes,No,Cable modem,No,No,No,Yes,Yes,Yes
24,8733-EDAXNE-8DV,Zone 3,"> 250,000",Male,35-49,Post-undergraduate degree,"Precision Production, Craft, Repair",More than 15,No,4.919980925828125,$125+,13.700000000000001,1.1949352887301277,2.7386218236014477,Married,College degree,2.0,Single-family,16 to 25,Luxury,No,Prices,416.12,69.0,No,22.05,0.0,28.25,36.45,Yes,Yes,Cable modem,Yes,No,No,Yes,Yes,Yes
25,8170-YHWTSQ-825,Zone 5,"50,000-249,999",Male,>65,Did not complete high school,Sales and Office,2 to 5,Yes,2.302585092994046,Under $25,2.4,-3.247275299389899,-1.6038535341401998,Unmarried,,1.0,Multiple-Family,More than 25,Economy,No,,197.27,46.0,No,19.8,24.75,14.0,0.0,No,No,None,Yes,Yes,Yes,No,Yes,Yes
26,8846-JJEGFU-I69,Zone 1,"> 250,000",Female,50-64,High school degree,Managerial and Professional,11 to 15,No,4.143134726391533,$50 - $74,6.0,-0.5217854640023328,1.1589356886512148,Unmarried,,1.0,Multiple-Family,16 to 25,Standard,No,,283.59000000000003,41.0,No,13.0,19.25,9.0,19.35,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes
27,4226-TEHKPJ-GKG,Zone 1,"50,000-249,999",Female,50-64,High school degree,Service,6 to 10,No,3.912023005428146,$50 - $74,5.1,0.08277742645756819,0.38096747650776397,Married,Did not complete high school,3.0,Single-family,More than 25,Standard,No,,501.11,49.0,No,9.3,53.5,42.0,0.0,No,Yes,None,Yes,Yes,Yes,No,Yes,No
28,2866-TTOTKL-TA7,Zone 5,"2,500-9,999",Male,>65,Did not complete high school,Service,More than 15,Yes,3.332204510175204,$25 - $49,9.8,0.49190209794685164,0.10307630884265181,Married,Some college,2.0,Condominium/Townhouse,More than 25,Economy,Yes,Convenience,163.72,31.0,No,5.0,0.0,10.75,0.0,No,No,None,No,No,No,No,Yes,No
29,7217-UECHSF-PCR,Zone 1,"> 250,000",Female,35-49,Did not complete high school,Sales and Office,2 to 5,No,3.1354942159291497,Under $25,18.7,0.7186087657078036,0.810673738884385,Unmarried,,2.0,Condominium/Townhouse,16 to 25,Economy,No,,268.09000000000003,23.0,No,6.5,34.75,15.75,19.7,No,No,Dial-up,Yes,Yes,Yes,No,Yes,Yes
30,0197-AMEAYR-851,Zone 5,"> 250,000",Male,35-49,College degree,Sales and Office,Less than 2,No,4.31748811353631,$75 - $124,2.1999999999999997,-2.279845606024556,0.43676995793657675,Married,Post-undergraduate degree,2.0,Multiple-Family,16 to 25,Luxury,No,Prices,333.68,21.0,Yes,6.15,0.0,13.75,0.0,No,No,None,No,No,No,Yes,Yes,Yes
31,1743-WAHPKT-DNW,Zone 5,"> 250,000",Male,>65,Did not complete high school,Sales and Office,11 to 15,No,3.332204510175204,$25 - $49,3.3000000000000003,-0.9300144730939653,-0.6359127696078504,Married,Did not complete high school,2.0,Condominium/Townhouse,8 to 15,Economy,No,,453.52,16.0,No,4.3,22.5,0.0,0.0,No,No,None,Yes,No,No,No,Yes,No
32,9840-VEWFQZ-W5V,Zone 3,"> 250,000",Female,35-49,College degree,Sales and Office,2 to 5,No,3.4965075614664802,$25 - $49,12.6,0.7497269270042068,0.7137230382482048,Married,Post-undergraduate degree,2.0,Condominium/Townhouse,8 to 15,Economy,No,,272.44,27.0,No,6.65,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
33,6203-JLXPIJ-YQZ,Zone 5,"< 2,500",Male,35-49,Did not complete high school,"Operation, Fabrication, General Labor",11 to 15,No,3.784189633918261,$25 - $49,13.600000000000001,-0.012720564409380308,1.6087656865408946,Married,Did not complete high school,5.0,Single-family,16 to 25,Standard,No,,283.72,62.0,No,16.15,0.0,28.25,0.0,Yes,No,None,No,No,No,No,Yes,No
34,4166-WEDNXN-5RK,Zone 5,"2,500-9,999",Male,18-24,Some college,Service,Less than 2,No,3.4339872044851463,$25 - $49,9.2,-0.26131281743171286,0.7333097577123493,Unmarried,,1.0,Multiple-Family,Less than 3,Economy,No,,196.56,13.0,No,4.75,0.0,0.0,0.0,No,No,Dial-up,No,No,No,No,Yes,Yes
35,4643-WSLHBV-DM5,Zone 2,"> 250,000",Male,50-64,Post-undergraduate degree,Service,More than 15,No,5.648974238161206,$125+,9.4,2.738060940039931,2.419391296149317,Unmarried,,1.0,Single-family,16 to 25,Luxury,Yes,,1010.34,48.0,No,13.35,45.0,13.75,57.05,Yes,Yes,Cable modem,Yes,Yes,Yes,Yes,Yes,Yes
36,1441-JNZRPW-8KQ,Zone 3,"10,000-49,999",Female,25-34,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,3.8918202981106265,$25 - $49,2.1,-1.6427258593002751,-0.17966748196854634,Unmarried,,1.0,Mobile Home,4 to 7,Standard,No,,221.56,3.0,Yes,4.05,0.0,0.0,0.0,No,No,None,No,No,No,Yes,Yes,No
37,5811-BKUTYY-F7I,Zone 2,"> 250,000",Female,50-64,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,2.70805020110221,Under $25,7.6,-2.472661923371563,0.05414721807044634,Unmarried,,1.0,Multiple-Family,8 to 15,Economy,Yes,,65.08,42.0,No,16.55,0.0,30.75,0.0,No,No,DSL,Yes,No,Yes,No,Yes,Yes
38,0926-OZQUQX-GXA,Zone 2,"50,000-249,999",Male,35-49,Did not complete high school,Managerial and Professional,2 to 5,No,2.833213344056216,Under $25,2.3,-1.3667584360522553,-1.9946005182044337,Married,Did not complete high school,4.0,Single-family,8 to 15,Economy,No,,192.19,48.0,No,12.9,0.0,10.0,0.0,Yes,No,None,No,Yes,No,No,Yes,Yes
39,8101-YOBRYX-REF,Zone 3,"10,000-49,999",Female,50-64,Some college,Managerial and Professional,6 to 10,No,4.406719247264253,$75 - $124,34.2,0.11489888047652054,3.292952710824466,Unmarried,,1.0,Single-family,16 to 25,Luxury,No,Convenience,371.81,18.0,No,5.75,0.0,0.0,21.0,No,Yes,DSL,No,No,Yes,No,Yes,Yes
40,9172-WITHKP-BXZ,Zone 2,"> 250,000",Female,25-34,College degree,Sales and Office,Less than 2,No,3.5553480614894135,$25 - $49,5.7,0.07630805020617136,-0.08806101857976513,Married,Some college,2.0,Multiple-Family,4 to 7,Economy,No,,363.0,57.0,No,17.05,30.75,14.75,43.15,Yes,Yes,Dial-up,Yes,Yes,Yes,Yes,Yes,Yes
41,1114-UELZXT-QT7,Zone 4,"> 250,000",Female,>65,Did not complete high school,Agricultural and Natural Resources,More than 15,Yes,3.5553480614894135,$25 - $49,12.2,-0.29708615252707504,1.260453321779374,Married,Some college,2.0,Multiple-Family,More than 25,Economy,No,,145.59,64.0,No,17.7,0.0,25.5,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
42,0992-DNDKIT-CUP,Zone 5,"10,000-49,999",Male,18-24,Some college,"Operation, Fabrication, General Labor",Less than 2,No,2.995732273553991,Under $25,5.2,-1.2738231862270166,-0.2741211060790772,Married,High school degree,4.0,Multiple-Family,Less than 3,,No,,482.3,29.0,Yes,7.2,0.0,0.0,0.0,No,No,Other,No,No,No,Yes,Yes,Yes
43,2654-JRLXAI-HC7,Zone 2,"> 250,000",Female,35-49,Did not complete high school,Managerial and Professional,2 to 5,No,3.2188758248682006,$25 - $49,7.7,-0.7394005650774073,0.3699070127074503,Unmarried,,1.0,Multiple-Family,8 to 15,Economy,No,Prices,138.95000000000002,31.0,No,9.2,17.5,0.0,0.0,No,No,None,No,Yes,No,No,Yes,No
44,4939-KCMADL-HLM,Zone 3,"50,000-249,999",Female,>65,Some college,Sales and Office,More than 15,Yes,3.4657359027997265,$25 - $49,23.1,1.1540999742852631,1.4400322650132562,Married,College degree,2.0,Multiple-Family,16 to 25,Economy,No,,176.20000000000002,39.0,No,6.75,43.75,16.5,32.2,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes
45,4724-UVMKNV-Z1I,Zone 2,"50,000-249,999",Male,>65,Did not complete high school,Managerial and Professional,More than 15,Yes,2.772588722239781,Under $25,3.0,-1.2087843613231581,-1.70683025844275,Married,Did not complete high school,4.0,Multiple-Family,16 to 25,Economy,No,Convenience,303.73,66.0,No,19.1,0.0,28.5,0.0,No,No,None,No,No,No,No,Yes,No
46,4231-HZEXGK-HRI,Zone 4,"10,000-49,999",Female,25-34,Post-undergraduate degree,Managerial and Professional,Less than 2,No,4.1588830833596715,$50 - $74,3.9,-0.9368200231266478,0.7439011295268998,Unmarried,,1.0,Single-family,4 to 7,Standard,No,Prices,410.78000000000003,8.0,No,2.05,0.0,0.0,0.0,No,No,Dial-up,No,No,No,No,Yes,Yes
47,4979-WSWKYV-BSV,Zone 2,"> 250,000",Female,35-49,Some college,Service,6 to 10,No,3.4339872044851463,$25 - $49,14.799999999999999,0.7447391303455323,0.9091081991314688,Unmarried,,1.0,Multiple-Family,8 to 15,Economy,No,Convenience,420.48,52.0,No,12.25,0.0,27.0,0.0,Yes,No,None,No,No,Yes,No,Yes,Yes
48,7245-IUATZR-VLV,Zone 5,"> 250,000",Male,25-34,High school degree,Sales and Office,Less than 2,No,2.8903717578961645,Under $25,14.499999999999998,-0.22481995569515434,0.5940669028592694,Married,Some college,4.0,Single-family,8 to 15,Economy,No,,263.55,27.0,No,3.2,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
49,2041-WAUPOH-84L,Zone 1,"2,500-9,999",Male,35-49,Did not complete high school,Sales and Office,6 to 10,No,3.713572066704308,$25 - $49,3.1,-1.8888277936632907,0.1131063391613594,Unmarried,,1.0,Multiple-Family,16 to 25,Economy,No,,321.19,14.0,No,5.7,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,Yes
50,5472-GUGMBS-ZVK,Zone 3,"50,000-249,999",Female,18-24,High school degree,Service,Less than 2,No,3.091042453358316,Under $25,2.7,-1.288746686375374,-1.1444970775308272,Married,High school degree,2.0,Condominium/Townhouse,Less than 3,Economy,No,Convenience,461.03000000000003,6.0,No,4.55,0.0,0.0,0.0,Yes,No,None,No,No,Yes,No,Yes,Yes
51,1811-FUILIP-L3S,Zone 3,"> 250,000",Female,50-64,Did not complete high school,"Precision Production, Craft, Repair",More than 15,Yes,2.6390573296152584,Under $25,15.0,-0.5526898278646895,0.4217320805720363,Married,Did not complete high school,2.0,Condominium/Townhouse,More than 25,Economy,No,,79.75,70.0,No,41.75,28.75,38.25,0.0,Yes,No,None,No,Yes,Yes,No,Yes,No
52,2687-GRSYRT-YRW,Zone 4,"10,000-49,999",Male,25-34,High school degree,Sales and Office,2 to 5,No,4.406719247264253,$75 - $124,6.9,1.3205807498342468,0.6483610893802572,Married,High school degree,2.0,Single-family,4 to 7,Luxury,No,,328.19,21.0,Yes,4.45,0.0,0.0,0.0,No,No,None,No,No,No,Yes,Yes,Yes
53,9184-ABVZGX-Z4V,Zone 2,"> 250,000",Male,>65,College degree,Sales and Office,6 to 10,No,4.51085950651685,$75 - $124,0.3,-2.356713982832455,-1.7244616335028833,Unmarried,,1.0,Single-family,More than 25,Luxury,No,Convenience,451.73,68.0,Yes,22.0,0.0,19.0,84.85,Yes,Yes,Other,No,No,No,Yes,Yes,Yes
54,9891-ZXATIA-55Z,Zone 3,"50,000-249,999",Male,35-49,Some college,"Operation, Fabrication, General Labor",6 to 10,No,4.30406509320417,$50 - $74,4.7,-0.3579929549909699,1.022063082716229,Married,High school degree,2.0,Single-family,8 to 15,Standard,No,,748.95,36.0,No,14.1,24.75,0.0,0.0,No,No,None,No,No,No,No,Yes,No
55,6246-WBWHHS-GFB,Zone 4,"10,000-49,999",Female,25-34,Some college,Sales and Office,2 to 5,No,3.828641396489095,$25 - $49,2.1,-1.0261446611443208,-0.4982154670513154,Unmarried,,2.0,Single-family,8 to 15,Economy,No,,141.63,31.0,No,10.8,25.0,0.0,0.0,No,No,Dial-up,Yes,Yes,Yes,No,Yes,Yes
56,2212-AOYDMW-0ZV,Zone 2,"50,000-249,999",Male,>65,Post-undergraduate degree,Managerial and Professional,11 to 15,Yes,2.6390573296152584,Under $25,8.200000000000001,-1.1787470005739056,-0.17395346712345072,Married,High school degree,2.0,Mobile Home,More than 25,Economy,Yes,,242.81,72.0,No,35.8,0.0,55.5,0.0,Yes,No,Dial-up,No,No,Yes,No,Yes,Yes
57,6023-TINSQC-7T4,Zone 3,"10,000-49,999",Female,50-64,College degree,"Operation, Fabrication, General Labor",More than 15,No,4.61512051684126,$75 - $124,7.199999999999999,0.4041522466826218,1.7533595391401762,Married,Post-undergraduate degree,2.0,Multiple-Family,16 to 25,Standard,No,,1260.83,14.0,Yes,10.1,26.0,18.0,22.65,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes
58,2332-AAKERL-PNS,Zone 3,"2,500-9,999",Female,50-64,College degree,Managerial and Professional,6 to 10,No,4.795790545596741,$75 - $124,9.1,1.4073415567567522,1.9352707508497575,Married,High school degree,2.0,Single-family,More than 25,Luxury,No,,296.33,60.0,No,9.5,25.25,21.75,0.0,No,No,None,Yes,No,Yes,No,Yes,No
59,8888-ERPHEF-H3V,Zone 4,"< 2,500",Female,>65,Did not complete high school,Service,More than 15,Yes,2.9444389791664403,Under $25,15.299999999999999,-0.1435401708999936,0.7132997466204128,Unmarried,,1.0,Multiple-Family,16 to 25,Economy,No,,91.4,32.0,No,5.05,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
60,0213-HSPXOI-LYR,Zone 5,"< 2,500",Female,18-24,Some college,"Precision Production, Craft, Repair",Less than 2,No,3.4011973816621555,$25 - $49,13.5,0.2046944076456802,1.0377470128968347,Married,High school degree,4.0,Condominium/Townhouse,Less than 3,Economy,No,,545.92,10.0,No,4.7,0.0,0.0,0.0,No,No,DSL,No,No,No,Yes,Yes,Yes
61,9095-NXHCNI-HXG,Zone 3,"10,000-49,999",Female,25-34,College degree,Managerial and Professional,Less than 2,No,3.7612001156935624,$25 - $49,2.1,-0.34793326400197755,-1.6252929417581998,Unmarried,,3.0,Multiple-Family,Less than 3,Standard,No,,308.96,2.0,Yes,4.3,0.0,27.0,28.75,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
62,4115-RQKQTM-RXB,Zone 1,"2,500-9,999",Male,>65,Did not complete high school,Managerial and Professional,More than 15,Yes,2.8903717578961645,Under $25,1.4000000000000001,-2.910803062768686,-1.6216724501024429,Unmarried,,1.0,Single-family,4 to 7,Economy,No,Convenience,241.67000000000002,50.0,No,14.8,23.75,15.25,0.0,Yes,No,None,Yes,No,Yes,Yes,Yes,No
63,4048-TDAQGT-9Y6,Zone 1,"50,000-249,999",Male,50-64,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,5.7899601708972535,$125+,11.700000000000001,2.7429767073324682,3.1235028670933804,Married,Some college,2.0,Multiple-Family,More than 25,Luxury,Yes,,784.8100000000001,72.0,No,100.7,65.75,24.25,0.0,Yes,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
64,4336-AZJUON-KO0,Zone 5,"2,500-9,999",Male,>65,College degree,Managerial and Professional,6 to 10,No,3.4011973816621555,$25 - $49,6.9,-1.7375554152145427,0.638717393570662,Married,High school degree,2.0,Condominium/Townhouse,8 to 15,Economy,No,,88.78,40.0,No,12.4,18.0,0.0,0.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes
65,5495-XNMJLP-GBP,Zone 4,"2,500-9,999",Male,>65,Some college,Managerial and Professional,More than 15,Yes,4.564348191467836,$75 - $124,15.6,2.1194619350036814,1.8945182031853238,Married,Post-undergraduate degree,2.0,Single-family,More than 25,Luxury,No,,420.63,70.0,No,24.55,25.5,34.0,0.0,Yes,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
66,6960-IEHYJM-SCB,Zone 5,"> 250,000",Female,18-24,Some college,Sales and Office,Less than 2,No,3.2188758248682006,$25 - $49,6.800000000000001,-0.09860560375412197,-0.2307977702510693,Unmarried,,1.0,Multiple-Family,Less than 3,Economy,No,,99.34,7.0,Yes,3.65,16.25,34.0,30.8,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
67,2566-HGSGRK-ROU,Zone 3,"> 250,000",Male,50-64,College degree,Sales and Office,6 to 10,No,4.219507705176107,$50 - $74,6.5,0.7645930410079634,0.8206076825626347,Unmarried,,1.0,Multiple-Family,More than 25,Standard,No,,602.67,56.0,Yes,19.95,52.0,31.75,74.8,Yes,Yes,Cable modem,Yes,Yes,Yes,Yes,Yes,Yes
68,7164-HJCLUK-29N,Zone 3,"50,000-249,999",Female,>65,Did not complete high school,Managerial and Professional,More than 15,No,4.356708826689592,$75 - $124,12.7,1.9000980460564387,1.1692105375136463,Married,Did not complete high school,2.0,Multiple-Family,More than 25,,No,,364.94,72.0,No,46.7,73.5,33.5,0.0,Yes,Yes,None,Yes,Yes,Yes,No,Yes,No
69,6866-MMDIWM-62M,Zone 4,"50,000-249,999",Female,35-49,College degree,Service,6 to 10,No,4.248495242049359,$50 - $74,8.6,-1.5573199581719936,1.7594600816775785,Married,College degree,3.0,Single-family,16 to 25,Luxury,No,,154.14000000000001,35.0,No,11.75,0.0,8.25,0.0,No,No,Other,No,No,No,No,Yes,Yes
70,5792-HGZFWY-G4O,Zone 1,"> 250,000",Male,50-64,High school degree,"Operation, Fabrication, General Labor",More than 15,No,4.61512051684126,$75 - $124,3.5999999999999996,-0.5995912658519804,1.1271880836444426,Unmarried,,1.0,Single-family,16 to 25,Luxury,No,Convenience,1053.82,46.0,No,8.4,21.25,11.0,41.75,No,Yes,None,Yes,Yes,Yes,No,Yes,Yes
71,5106-JWYDFO-SV4,Zone 2,"10,000-49,999",Female,35-49,College degree,Sales and Office,2 to 5,No,3.58351893845611,$25 - $49,7.6,0.7174807042953862,-0.3758053400900488,Married,Some college,3.0,Multiple-Family,8 to 15,Economy,No,,138.21,28.0,No,13.4,25.25,21.25,33.75,No,Yes,Cable modem,No,Yes,No,Yes,Yes,Yes
72,1970-BJAGYZ-XPT,Zone 5,"< 2,500",Female,35-49,College degree,Sales and Office,2 to 5,No,4.174387269895637,$50 - $74,8.200000000000001,0.6544739175284972,1.2255004135731509,Married,Some college,4.0,Single-family,4 to 7,Standard,No,,413.81,35.0,No,8.8,25.25,14.25,37.5,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
